name,country,lat,lon,population,capital
Al Jubayl,SA,27.0174,49.62251,237274,0
Al Jumayl,LY,32.85286,12.0612,102000,0
Al Kharj,SA,24.15541,47.33457,425300,0
Al Khums,LY,32.64861,14.26191,201943,0
Al Khusus,EG,30.15293,31.31501,488904,0
Al Madinah,IQ,30.96324,47.26998,255000,0
Al Mahallah al Kubra,EG,30.97063,31.1669,592573,0
Al Mahmudiyah,IQ,33.06221,44.36564,350000,0
Al Majaz,AE,25.32354,55.38774,116503,0
Al Manaqil,SD,14.2459,32.9891,128297,0
Al Mansurah,EG,31.03637,31.38069,621953,0
Al Manzalah,EG,31.15823,31.936,127394,0
Al Matariyah,EG,31.18287,32.03108,162045,0
Al Mawsil al Jadidah,IQ,36.33271,43.10555,2065597,0
Al Miqdadiyah,IQ,33.97861,44.93694,155968,0
Al Mubarraz,SA,25.40768,49.59028,290802,0
Al Muharraq,BH,26.25722,50.61194,176583,0
Al Qadarif,SD,14.03493,35.38344,363945,0
Al Qahirah al Jadidah,EG,30.04214,31.44446,313139,0
Al Qamishli,SY,37.05215,41.23142,184231,0
Al Qurnah,IQ,31.01547,47.43362,134174,0
Al'met'yevsk,RU,54.90395,52.31793,140437,0
Al-'Ubur,EG,30.22886,31.48149,138987,0
Al-Junaynah,SD,13.45262,22.44725,162981,0
Al-Kut,IQ,32.5128,45.81817,315162,0
Al-Musayab,IQ,32.77872,44.29005,101873,0
Ala'er,CN,40.54184,81.26566,126259,0
Alagoinhas,BR,-12.13556,-38.41917,122688,0
Alamar,CU,23.15794,-82.27837,100000,0
Alandur,IN,13.0025,80.20611,164430,0
Alanya,TR,36.54375,31.99982,364180,0
Alappuzha,IN,9.49004,76.3264,240991,0
Alasia,NG,6.47489,3.16914,100000,0
Albacete,ES,38.99424,-1.85643,173050,0
Albany,US,42.65258,-73.75623,101228,0
Alberton,ZA,-26.26786,28.12225,121536,0
Albuquerque,US,35.08449,-106.65114,564559,0
Alcala de Henares,ES,40.48205,-3.35996,193751,0
Alchevsk,UA,48.46906,38.79744,106062,0
Alcobendas,ES,40.54746,-3.64197,116037,0
Alcorcon,ES,40.34582,-3.82487,172384,0
Aleppo,SY,36.20124,37.16117,2098210,0
Alexandra,ZA,-26.10528,28.09884,179624,0
Alexandria,EG,31.20176,29.91582,5263542,0
Alexandria,US,38.80484,-77.04692,159467,0
Aley,LB,33.80528,35.6,130000,0
Algeciras,ES,36.13326,-5.45051,121414,0
Algiers,DZ,36.73225,3.08746,2364230,1
Alhambra,US,33.49838,-112.13432,127764,0
Aliayabiagba,NG,6.45,3.33333,228000,0
Alicante,ES,38.34517,-0.48149,348901,0
Aligarh,IN,27.88145,78.07464,753207,0
Alimosho,NG,6.60656,3.30235,308290,0
Allentown,US,40.60843,-75.49018,120207,0
Almaty,KZ,43.25249,76.9115,1977011,0
Almendares,CU,23.11012,-82.42322,240000,0
Almere Stad,NL,52.37025,5.21413,176432,0
Almeria,ES,36.83814,-2.45974,196851,0
Almirante Tamandare,BR,-25.32472,-49.31,119825,0
Alofi,NU,-19.05294,-169.91957,624,1
Alor Setar,MY,6.12104,100.36014,417800,0
Altamira,BR,-3.20333,-52.20639,126279,0
Alto Barinas,VE,8.5931,-70.2261,284289,0
Alto Hospicio,CL,-20.26871,-70.1049,142086,0
Altona,DE,53.55,9.93333,250192,0
Alvaro Obregon,MX,19.35867,-99.20329,726664,0
Alvorada,BR,-30.00018,-51.07632,187315,0
Alwar,IN,27.56246,76.625,322568,0
Amadora,PT,38.75382,-9.23083,178858,0
Amagasaki,JP,34.71667,135.41667,459593,0
Amaigbo,NG,5.78917,7.83829,127300,0
Amanfrom,GH,5.53532,-0.39827,119467,0
Amarapura,MM,21.90709,96.04894,237618,0
Amaravati,IN,16.514,80.516,103000,0
Amarillo,US,35.222,-101.8313,198645,0
Amasya,TR,40.65333,35.83306,114921,0
Ambala,IN,30.36099,76.79782,195153,0
Ambala Sadar,IN,30.33544,76.86265,104974,0
Ambarnath,IN,19.2,73.16667,253475,0
Ambato,EC,-1.24908,-78.61675,387309,0
Ambattur,IN,13.09818,80.16152,466205,0
Ambikapur,IN,23.11892,83.19537,121071,0
Ambon,ID,-3.69583,128.18333,347288,0
Ambur,IN,12.79163,78.71644,114608,0
Americana,BR,-22.73917,-47.33139,246655,0
Amersfoort,NL,52.155,5.3875,139914,0
Amherst,US,42.97839,-78.79976,122366,0
Amiens,FR,49.9,2.3,143086,0
Amman,JO,31.95522,35.94503,1275857,1
Amol,IR,36.46961,52.35072,237528,0
Ampang,MY,3.15,101.76667,126285,0
Amravati,IN,20.93333,77.75,647057,0
Amreli,IN,21.59983,71.21169,117967,0
Amritsar,IN,31.62234,74.87534,1159227,0
Amroha,IN,28.90314,78.46984,176253,0
Amsterdam,NL,52.37403,4.88969,741636,1
An Nhon,VN,13.88579,109.10823,308396,0
An Nu'maniyah,IQ,32.55621,45.41293,110000,0
An Nuhud,SD,12.7,28.43333,108008,0
Anaco,VE,9.42958,-64.46428,139397,0
Anaheim,US,33.83529,-117.9145,350742,0
Anand,IN,22.55251,72.9552,209410,0
Ananindeua,BR,-1.36556,-48.37222,433956,0
Anantapur,IN,14.67784,77.60813,267161,0
Anantnag,IN,33.73068,75.15418,150592,0
Anapolis,BR,-16.32667,-48.95278,319587,0
Anbu,CN,23.44895,116.68092,162964,0
Anchorage,US,61.21806,-149.90028,289600,0
Anda,CN,46.44867,125.30161,181271,0
Anderlecht,BE,50.83619,4.31454,160553,0
Andijon,UZ,40.78338,72.35067,747800,0
